week,team,user,week total,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,ao_list
0,Blitzen,Morticia,9,,9,,,,,,,,,,"dmz, the-ridge, the-silo"
1,Blitzen,Morticia,9,,9,,,,,,,,,,"dmz, the-colosseum"
1,Blitzen,Pee Wee Herman,9,,9,,,,,,,,,,"dmz, the-grove"
2,Blitzen,SkidMark,9,,9,,,,,,,,,,the-ridge
3,Blitzen,SkidMark,9,,9,,,,,,,,,,"the-grove, the-ridge"
3,Comet,Bob Villa,9,,9,,,,,,,,,,"the-colosseum, the-olympiad"
2,Comet,Danica,9,,9,,,,,,,,,,"the-colosseum, the-ridge"
2,Comet,Happy Camper,9,,9,,,,,,,,,,"the-olympiad, the-ridge"
0,Comet,Hatchet (Lizard Q),9,,9,,,,,,,,,,"da-grizz, the-colosseum"
2,Comet,Meta,9,,9,,,,,,,,,,"el-coyote, the-grove, the-ridge"
2,Cupid,Bunker,9,,9,,,,,,,,,,"the-colosseum, the-grove, the-ridge"
3,Cupid,Bunker,9,,9,,,,,,,,,,"the-ridge, the-silo"
3,Dancer,Cutler,9,,9,,,,,,,,,,"black-rock, dmz, the-colosseum"
4,Dancer,Cutler,9,,9,,,,,,,,,,"black-rock, the-silo"
2,Dancer,Dear Abby,9,,9,,,,,,,,,,"dmz, the-colosseum, the-ridge"
2,Dancer,HandsOn,9,,9,,,,,,,,,,the-colosseum
4,Dancer,Hodl,9,,9,,,,,,,,,,"the-colosseum, the-ridge, the-silo"
0,Dancer,Ozark,9,,6,,,,,,,3,,,da-grizz
1,Dancer,Ozark,9,,6,,,,,,,3,,,ravens-nest
3,Dancer,Party in a bottle,9,,9,,,,,,,,,,"the-colosseum, the-ridge"
2,Dasher,Old Maid,9,,9,,,,,,,,,,"the-colosseum, the-ridge"
